ProductID,ProductName,ProductCategory,ProductPrice,CustomerEmail,AmountSpent,LoyaltyScore,PurchaseDate,PaymentMethod,ShippingCountry
P0001,Phone,Electronics,91.92,user1@example.com,114.90142459033699,26.0,2023-02-20,Cash,Germany
P0003,Shirt,Clothing,95.54,user3@example.com,119.43065614302077,98.0,2023-07-08,Credit Card,UK
P0004,Shirt,Clothing,116.55,user4@example.com,145.69089569224076,59.0,2025-01-01,Credit Card,Germany
P0005,Phone,Electronics,74.38,user5@example.com,92.97539875829992,56.0,2023-11-27,Cash,USA
P0006,Phone,Electronics,74.38,user6@example.com,92.97589129152459,59.0,2025-01-01,Cash,Germany
P0007,Desk,Office,117.9,user7@example.com,147.37638446522175,70.0,2023-02-01,Cash,USA
P0008,Laptop,Electronics,98.42,invalid-email,123.02304187458726,33.0,2023-07-23,Credit Card,UK
P0009,Book,Office,68.73,user9@example.com,85.91576842195144,53.0,2023-05-22,Debit Card,USA
P0010,Laptop,Electronics,93.02,user10@example.com,116.27680130757894,22.0,2023-04-08,Debit Card,UK
P0011,Shirt,Clothing,68.88,user11@example.com,86.09746921562613,21.0,2023-03-04,Paypal,Canada
P0012,Book,Office,68.82,user12@example.com,165.3978771251395,70.0,2023-08-21,Cash,Canada
P0013,Laptop,Electronics,85.81,user13@example.com,107.25886814698103,70.0,2023-02-16,Cash,France
P0014,Laptop,Electronics,34.08,user14@example.com,42.601592660266064,4.0,2023-12-06,Debit Card,UK
P0015,Phone,Electronics,38.6,user15@example.com,48.252465024609016,94.0,2023-04-19,Paypal,France
P0016,Book,Office,66.51,user16@example.com,83.13137412277082,75.0,2023-11-25,Credit Card,France
P0017,Shirt,Clothing,55.69,user17@example.com,69.61506638996728,62.0,2023-11-24,Credit Card,Canada
P0018,Book,Office,87.54,user18@example.com,109.42741997785822,62.0,2023-11-02,Debit Card,USA
P0019,Desk,Office,58.21,user19@example.com,72.75927773436366,94.0,2023-01-11,Cash,USA
P0020,Laptop,Electronics,46.1,user20@example.com,57.630888959941245,95.0,2023-01-26,Credit Card,Germany
P0021,Desk,Office,115.18,user21@example.com,143.96946306764661,24.0,2023-06-20,Paypal,Spain
P0022,Phone,Electronics,74.58,user22@example.com,93.22671098540393,55.0,2023-05-05,Paypal,UK
P0023,Shirt,Clothing,81.62,user23@example.com,102.02584614063771,9.0,2023-03-06,Cash,Germany
P0025,Desk,Office,66.93,user25@example.com,83.66851826424453,31.0,2023-04-16,Debit Card,Germany
P0026,Shirt,Clothing,82.66,user26@example.com,103.32767769129599,40.0,2023-02-05,Credit Card,France
P0027,Laptop,Electronics,52.38,user27@example.com,65.47019267733091,36.0,2023-10-11,Credit Card,Spain
P0028,Laptop,Electronics,89.02,user28@example.com,111.27094055037016,24.0,2023-04-17,Credit Card,Canada
P0029,Desk,Office,65.58,user29@example.com,165.3978771251395,95.0,2023-10-28,Paypal,USA
P0030,Phone,Electronics,73.0,user30@example.com,165.3978771251395,6.0,2023-04-21,Debit Card,USA
P0031,Desk,Office,65.56,user31@example.com,81.9488016331181,66.0,2023-04-30,Cash,USA
P0032,Phone,Electronics,124.45,user32@example.com,155.56834553526812,84.0,2025-01-01,Credit Card,Unknown
P0033,Book,Office,79.68,user33@example.com,99.59508325786199,92.0,2023-03-17,Cash,Germany
P0034,Desk,Office,54.61,user34@example.com,68.268672131323,75.0,2023-11-02,Cash,Canada
P0035,Shirt,Clothing,99.74,user35@example.com,124.67634736309567,4.0,2023-01-02,Cash,France
P0036,Book,Office,50.7,user36@example.com,63.374690500869335,79.0,2023-05-22,Cash,France
P0037,Desk,Office,85.01,user37@example.com,106.26590785014267,6.0,2023-03-16,Paypal,Canada
P0039,Desk,Office,48.12,user39@example.com,60.154418533047085,51.0,2023-10-04,Paypal,France
P0040,Book,Office,84.72,user40@example.com,105.90583707607371,62.0,2023-05-09,Paypal,Unknown
P0041,Phone,Electronics,97.72,user41@example.com,122.15399739986232,57.0,2023-03-31,Credit Card,France
P0042,Laptop,Electronics,84.11,user42@example.com,105.14104843569912,66.0,2023-02-26,Credit Card,Unknown
P0043,Shirt,Clothing,77.22,user43@example.com,96.53055152835279,79.0,2023-12-05,Paypal,USA
P0044,Shirt,Clothing,72.77,user44@example.com,90.96688913232134,75.0,2023-01-14,Credit Card,USA
P0045,Laptop,Electronics,44.52,user45@example.com,55.644340288977176,8.0,2025-01-01,Debit Card,Canada
P0046,Shirt,Clothing,62.72,user46@example.com,78.40467374815874,26.0,2023-01-08,Paypal,France
P0047,Laptop,Electronics,68.94,user47@example.com,165.3978771251395,51.0,2023-07-03,Credit Card,Spain
P0048,Shirt,Clothing,105.37,user48@example.com,131.71366678656747,45.0,2023-05-02,Credit Card,UK
P0049,Phone,Electronics,88.25,user49@example.com,110.30854868705384,44.0,2025-01-01,Cash,France
P0050,Shirt,Clothing,37.69,user50@example.com,47.10879533911798,5.0,2023-06-15,Paypal,USA
P0051,Shirt,Clothing,87.78,user51@example.com,109.72251908184386,70.0,2023-01-09,Cash,France
P0052,Shirt,Clothing,70.76,user52@example.com,88.4475315875105,26.0,2023-03-31,Cash,Germany
P0053,Shirt,Clothing,63.75,user53@example.com,79.69233999082124,68.0,2023-05-16,Paypal,USA
P0054,Desk,Office,94.68,user54@example.com,118.35028866522603,19.0,2023-01-27,Debit Card,France
P0055,Phone,Electronics,118.23416842105257,user55@example.com,130.92998567487854,84.0,2023-03-06,Cash,Spain
P0056,Phone,Electronics,102.35,user56@example.com,127.93840357348596,97.0,2023-08-04,Credit Card,Germany
P0057,Laptop,Electronics,59.86,user57@example.com,74.82347430332085,20.0,2023-09-27,Credit Card,USA
P0058,Phone,Electronics,118.23416842105257,user58@example.com,90.72362872446357,12.0,2023-02-28,Credit Card,Unknown
P0059,Laptop,Electronics,87.95,user59@example.com,109.93790294210692,47.0,2023-02-02,Cash,France
P0060,Shirt,Clothing,103.41,user60@example.com,165.3978771251395,1.0,2023-09-01,Debit Card,UK
P0061,Desk,Office,68.5,user61@example.com,85.6247728646413,49.0,2023-08-18,Paypal,UK
P0062,Phone,Electronics,75.54,user62@example.com,94.43023070008549,14.0,2023-07-05,Cash,UK
P0063,Book,Office,53.45,user63@example.com,66.80995077981916,64.0,2023-09-20,Credit Card,Germany
P0064,Phone,Electronics,51.29,user64@example.com,64.11380127757988,38.0,2023-10-31,Credit Card,UK
P0065,Desk,Office,99.5,user65@example.com,124.37577467182594,37.0,2023-02-25,Credit Card,Spain
P0066,Phone,Electronics,112.55,user66@example.com,140.68720085712468,11.0,2023-08-20,Debit Card,France
P0067,Shirt,Clothing,78.27,user67@example.com,97.83969635258998,77.0,2023-09-15,Debit Card,USA
P0068,Laptop,Electronics,104.08,user68@example.com,165.3978771251395,3.0,2023-04-24,Credit Card,Spain
P0069,Shirt,Clothing,118.23416842105257,user69@example.com,110.84908075142903,49.0,2023-11-11,Cash,Germany
P0070,Shirt,Clothing,64.52,user70@example.com,80.64640736184627,6.0,2023-01-23,Paypal,France
P0071,Shirt,Clothing,88.67,user71@example.com,110.84186816525242,50.0,2023-12-04,Debit Card,France
P0072,Desk,Office,116.91,user72@example.com,146.1410969939791,10.0,2025-01-01,Debit Card,UK
P0073,Desk,Office,79.14,user73@example.com,98.92521882670145,5.0,2023-06-04,Debit Card,France
P0074,Shirt,Clothing,117.55,user74@example.com,146.93930967442017,23.0,2023-08-23,Debit Card,Spain
P0075,Phone,Electronics,17.13,user75@example.com,21.40764687730767,10.0,2023-11-26,Paypal,Canada
P0076,Shirt,Clothing,99.73,user76@example.com,124.65707513125672,44.0,2023-01-16,Credit Card,France
P0077,Desk,Office,82.09,user77@example.com,165.3978771251395,2.0,2023-02-01,Paypal,Germany
P0078,Book,Office,72.82,user78@example.com,91.02977948602397,13.0,2023-09-03,Debit Card,UK
P0079,Shirt,Clothing,82.2,user79@example.com,102.75282329606507,49.0,2023-07-25,Credit Card,UK
P0080,Shirt,Clothing,32.3,user80@example.com,40.372932561973215,2.0,2023-08-07,Debit Card,France
P0081,Book,Office,74.73,user81@example.com,93.40984336487465,84.0,2023-12-18,Debit Card,Canada
P0082,Shirt,Clothing,88.57,user82@example.com,110.7133771453524,49.0,2023-02-25,Paypal,Spain
P0083,Book,Office,115.47,user83@example.com,144.33682134224549,63.0,2023-09-09,Cash,France
P0084,Desk,Office,118.23416842105257,user84@example.com,84.45189345179058,73.0,2023-12-31,Debit Card,USA
P0085,Shirt,Clothing,60.6,user85@example.com,165.3978771251395,17.0,2023-08-16,Cash,Spain
P0086,Shirt,Clothing,67.96,user86@example.com,84.9472886924639,9.0,2023-02-07,Debit Card,Canada
P0087,Desk,Office,101.97,user87@example.com,127.46206353106223,75.0,2023-02-11,Credit Card,UK
P0088,Book,Office,87.89,user88@example.com,109.86253328979053,15.0,2023-06-14,Cash,Germany
P0089,Laptop,Electronics,67.29,user89@example.com,84.10719388698884,24.0,2023-11-08,Credit Card,UK
P0090,Laptop,Electronics,92.32,invalid-email,115.39802299340069,38.0,2023-03-17,Paypal,USA
P0091,Laptop,Electronics,82.33,user91@example.com,102.91232648044121,35.0,2023-02-03,Paypal,Spain
P0092,Phone,Electronics,103.25,user92@example.com,129.05934971598668,94.0,2023-03-06,Debit Card,Canada
P0093,Phone,Electronics,63.15,user93@example.com,78.93840718367943,95.0,2023-05-21,Paypal,Canada
P0094,Book,Office,72.14,user94@example.com,90.17013560206695,49.0,2023-11-16,Credit Card,France
P0095,Laptop,Electronics,70.59,user95@example.com,88.23675540603527,69.0,2025-01-01,Credit Card,UK
P0096,Shirt,Clothing,44.88,invalid-email,56.09455155603644,62.0,2023-10-27,Debit Card,Spain
P0097,Desk,Office,87.11,user97@example.com,108.88360831193728,60.0,2023-10-08,Credit Card,France
P0098,Book,Office,86.27,user98@example.com,107.83165816539668,50.0,2023-12-31,Debit Card,Canada
P0099,Desk,Office,118.23416842105257,invalid-email,100.15340369927382,78.0,2023-06-16,Cash,USA
P0100,Desk,Office,74.37,user100@example.com,92.96238599874557,75.0,2023-07-15,Credit Card,Spain
P0101,Laptop,Electronics,46.03,user101@example.com,57.53887773848757,9.0,2023-11-02,Paypal,USA
P0102,Phone,Electronics,69.9,user102@example.com,87.38064031703922,34.0,2023-09-29,Paypal,France
P0103,Phone,Electronics,71.77,user103@example.com,89.71856450419692,76.0,2023-05-31,Debit Card,UK
P0104,Book,Office,60.75,user104@example.com,75.93168192335143,99.0,2023-08-21,Cash,Unknown
P0105,Shirt,Clothing,76.13,user105@example.com,95.16142865001973,35.0,2023-09-16,Debit Card,France
P0106,Phone,Electronics,89.7,user106@example.com,165.3978771251395,1.0,2023-11-06,Cash,Germany
